OrderID,OrderDate,CustomerName,Product,Quantity,UnitPrice,TotalAmount,Region,Salesperson,Country,State,City,Category,SubCategory,Brand,CostPrice,Discount,Tax,OrderStatus,PaymentMode,ShipmentDate,DeliveryDate,ShippingPartner,DeliveryDays,CustomerType,CustomerRating,CustomerSince
5001,01-03-2024,Shree Sales,Keyboard Usb,6.0,850.0,2550.0,NA,NA,UAE,Maharashtra,DubaiCity,Keyboard,15InchLaptop,NA,40000.0,5,12,Completed,Card,03-01-2024,13-01-2024,NA,10,Wholesale,5,2022
5002,01-03-2024,Shree Sales,Laptop 15,3.0,55000.0,2550.0,NA,Rohann,USA,Maharashtra,NA,Keyboard,WirelessMouse,Lenovo,NA,5,18,Pending,Card,03-01-2024,17-02-2024,BlueDart,6,Wholesale,5,2019
5003,01-03-2024,Amar Traders,Monitor 24,2.0,450.0,110000.0,NA,NA,NA,Maharashtra,DubaiCity,Monitor,NA,Lenovo,NA,10,18,Completed,UPI,13-01-2024,01-03-2024,NA,1,Wholesale,4,2022
5004,15-02-2024,Amar Traders,Keyboard Usb,5.0,850.0,24000.0,East,NA,USA,Dubai,Houston,Keyboard,24InchMonitor,HP,30000.0,5,5,Pending,UPI,13-01-2024,15-02-2024,DHL,6,Retail,1,2019
5005,15-02-2024,Amar Traders,Laptop 15,1.0,850.0,2550.0,West,Rina,UAE,NA,Houston,Accessories,WirelessMouse,Acer,30000.0,5,12,Pending,UPI,13-01-2024,01-03-2024,DHL,5,Wholesale,1,2022
5006,17-02-2024,Shree Sales,Keyboard Usb,6.0,55000.0,55000.0,NA,Rina,Germany,Dubai,Houston,Accessories,WirelessMouse,Acer,40000.0,15,12,Completed,Card,03-01-2024,01-03-2024,DHL,4,Wholesale,3,2020
5007,13-01-2024,Global Corp,Laptop 15,6.0,450.0,110000.0,West,Rohan,Germany,Texas,Bengaluru,Laptop,WirelessMouse,Dell,10000.0,5,5,Completed,UPI,03-01-2024,13-01-2024,FedEx,4,Retail,4,2022
5008,13-01-2024,Amar Traders,Laptop 15,2.0,850.0,2550.0,NA,Rohan,UK,Dubai,Houston,Accessories,NA,HP,NA,5,5,Cancelled,Credit,01-12-2024,13-01-2024,FedEx,7,Corporate,2,2022
5009,13-01-2024,Shree Sales,Keyboard Usb,5.0,12000.0,110000.0,East,Rina,Germany,Maharashtra,Houston,Monitor,USBKeyboard,Dell,500.0,5,12,Pending,Card,13-01-2024,03-01-2024,FedEx,4,Corporate,2,2020
5010,13-01-2024,Amar Traders,Monitor 24,2.0,850.0,24000.0,North,Rohann,UK,Berlin,Bengaluru,Accessories,NA,Acer,40000.0,0,18,Cancelled,Card,03-01-2024,13-01-2024,BlueDart,8,Retail,3,2021
5011,01-03-2024,Shree Sales,Mouse Wireless,3.0,850.0,24000.0,West,Rohan,Germany,Maharashtra,NA,Keyboard,USBKeyboard,NA,30000.0,15,12,Cancelled,Credit,17-02-2024,01-03-2024,BlueDart,8,Wholesale,2,2020
5012,13-01-2024,Star Infotech,Keyboard Usb,2.0,12000.0,110000.0,East,Rohan,NA,Karnataka,Nagpur,Keyboard,NA,Logitech,40000.0,10,18,Cancelled,UPI,17-02-2024,13-01-2024,Delhivery,3,Wholesale,1,2020
5013,12-01-2024,Amar Traders,Laptop 15,1.0,450.0,NA,West,Rohan,UK,Maharashtra,Bengaluru,Laptop,NA,NA,40000.0,5,18,Pending,UPI,13-01-2024,03-01-2024,NA,9,Corporate,5,2021
5014,13-01-2024,Amar Traders,Mouse Wireless,5.0,55000.0,2550.0,West,Rohan,NA,Berlin,BerlinCity,Monitor,NA,Acer,500.0,0,18,Completed,Credit,01-12-2024,01-12-2024,FedEx,5,Corporate,4,2019
5015,15-02-2024,Global Corp,Keyboard Usb,3.0,55000.0,2550.0,East,Rina,NA,Karnataka,NA,Accessories,24InchMonitor,HP,40000.0,0,12,Cancelled,Card,03-01-2024,15-02-2024,Delhivery,4,Wholesale,2,2019
5016,17-02-2024,Global Corp,Monitor 24,3.5,850.0,24000.0,NA,NA,UK,Berlin,Houston,Mouse,USBKeyboard,Lenovo,500.0,0,5,Completed,UPI,13-01-2024,01-12-2024,FedEx,9,Retail,1,2022
