OrderID OrderDate CustomerName Product Quantity UnitPrice TotalAmount Region Salesperson Country State City Category SubCategory Brand CostPrice Discount Tax OrderStatus PaymentMode ShipmentDate DeliveryDate ShippingPartner DeliveryDays CustomerType CustomerRating CustomerSince
5001 01/03/24 ShreeSales Keyboard-USB 6 NULL 2550 NULL NULL UAE Maharashtra DubaiCity Keyboard 15InchLaptop NULL 40000 5 12 Completed Card 2024-03-01 2024-01-13 NULL 10 Wholesale 5 2022
5002 01/03/24 Shree_Sales Laptop-15 3 55000 2550 NULL Rohann USA Maharashtra NULL Keyboard WirelessMouse Lenovo NULL 5 18 Pending Card 2024-03-01 2024/02/17 BlueDart 6 Wholesale 5 2019
5003 2024-03-01 AmarTraders Monitor24 2 450 110000 NULL NULL NULL Maharashtra DubaiCity Monitor NULL Lenovo NULL 10 18 Completed UPI 2024-01-13 2024-03-01 NULL 1 Wholesale 4 2022
5004 15/02/24 Amar_Traders KeyboardUSB 5 NULL 24000 East NULL USA Dubai Houston Keyboard 24InchMonitor HP 30000 5 5 Pending UPI 13-01-2024 15/02/24 DHL 6 Retail 1 2019
5005 15/02/24 Amar_Traders Laptop_15 1 850 2550 West Rina UAE NULL Houston Accessories WirelessMouse Acer 30000 5 12 Pending UPI 2024-01-13 2024-03-01 DHL 5 Wholesale 1 2022
5006 2024/02/17 ShreeSales Keyboard-USB 6 55000 55000 NULL Rina Germany Dubai Houston Accessories WirelessMouse Acer 40000 15 12 Completed Card 2024-03-01 2024-03-01 DHL 4 Wholesale 3 2020
5007 13-01-2024 Global_Corp Laptop15 6 450 110000 West  Rohan Germany Texas Bengaluru Laptop WirelessMouse Dell 10000 5 5 Completed UPI 01/03/24 13-01-2024 FedEx 4 Retail 4 2022
5008 13-01-2024 Amar_Traders Laptop15 2 850 2550 NULL Rohan UK Dubai Houston Accessories NULL HP NULL 5 5 Cancelled Credit 12/01/24 13-01-2024 FedEx 7 Corporate 2 2022
5009 2024-01-13 ShreeSales Keyboard-USB 5 12000 110000 East Rina Germany Maharashtra Houston Monitor USBKeyboard Dell 500 5 12 Pending Card 2024-01-13 01/03/24 FedEx 4 Corporate 2 2020
5010 13-01-2024 AmarTraders Monitor_24 2 850 24000 North Rohann UK Berlin Bengaluru Accessories NULL Acer 40000 0 18 Cancelled Card 2024-03-01 2024-01-13 BlueDart 8 Retail 3 2021
5011 01/03/24 ShreeSales MouseWireless 3 850 24000 West Rohan Germany Maharashtra NULL Keyboard USBKeyboard NULL 30000 15 12 Cancelled Credit 2024/02/17 2024-03-01 BlueDart 8 Wholesale 2 2020
5012 2024-01-13 Star_Infotech KeyboardUSB 2 12000 110000 East  Rohan NULL Karnataka Nagpur Keyboard NULL Logitech 40000 10 18 Cancelled UPI 2024/02/17 13-01-2024 Delhivery 3 Wholesale 1 2020
5013 12/01/24 Amar_Traders Laptop-15 1 450 NULL West Rohan UK Maharashtra Bengaluru Laptop NULL NULL 40000 5 18 Pending UPI 2024-01-13 01/03/24 NULL 9 Corporate 5 2021
